FILENAME,MAE,MSE,RMSE,R2SCORE,SNR
fastnfastp_3.3V_45_vinn,0.032009741386865166,0.004701566087707436,0.0685679669212048,0.9896293127824254,25.91555206715367
fastnfastp_3.6V_45_vinn,0.027843562875006833,0.0032707765189084114,0.05719070308108138,0.9926854192544684,27.514795182396156
fastnslowp_3.3V_45_vinn,0.11873915399242657,0.0642363482268474,0.2534489065410372,0.858307835510044,14.312005061934876
fastnslowp_3.6V_45_vinn,0.0965105635240516,0.04384018653323536,0.20938048269415027,0.901958271241491,16.093293208508083
slownfastp_3.3V_45_vinn,0.15508342376731427,0.08114048257828542,0.28485168522984977,0.8210207939642543,13.218679895027147
slownfastp_3.6V_45_vinn,0.16549914142895517,0.09972293467848763,0.3157893834163644,0.7769852346467818,12.328056221265289
slownslowp_3.3V_45_vinn,0.168170811057721,0.07422294338405844,0.27243888008883466,0.8362794618124443,13.471656000650945
slownslowp_3.6V_45_vinn,0.1528505239454819,0.06488043837075183,0.25471638810793434,0.8549050347754308,14.129181851959212
typical_3.3V_45_vinn,0.10430953014959166,0.03164314383938789,0.177885198483145,0.9302017367793647,17.366342428278962
typical_3.6V_45_vinn,0.09820792620040299,0.02886562739263781,0.16989887401815768,0.9354465335331608,17.80152187616402
