FILENAME,MAE,MSE,RMSE,R2SCORE,SNR
 fastnfastp_3.3V_45_vinn,0.045523378366227475,0.007143832511521361,0.08452119563471261,0.9841764817821115,24.098664879913358
 fastnfastp_3.6V_45_vinn,0.041671645613755345,0.00537651804471365,0.07332474374120683,0.9879759856070012,25.356292817814
 fastnslowp_3.3V_45_vinn,0.12050655404205957,0.06714835171869768,0.2591299900025037,0.8512670663809103,14.1194599338316
 fastnslowp_3.6V_45_vinn,0.10589998863786666,0.046642126003810964,0.21596788188017904,0.8956898145368808,15.824233763238048
 slownfastp_3.3V_45_vinn,0.1562967941322707,0.07715311258768906,0.2777644912289709,0.829106620202926,13.437521243267819
 slownfastp_3.6V_45_vinn,0.16383506619107283,0.08760173163744747,0.2959758970548911,0.804087985327986,12.890879816820984
 slownslowp_3.3V_45_vinn,0.16082464355921075,0.07320497122423945,0.27056417210014977,0.8378517141970235,13.531631985411687
 slownslowp_3.6V_45_vinn,0.14290909015174985,0.05857373382176617,0.24202011036640358,0.8690060346366588,14.573290514581714
 typical_3.3V_45_vinn,0.10425969780707724,0.032318883288154826,0.17977453459306975,0.9284139937957443,17.27457522012422
 typical_3.6V_45_vinn,0.094442104389541,0.02569034688428275,0.1602820853504307,0.9425462542618137,18.307632205440157
